App,Package,Start Time,Duration,Filename
"System",,"May 3, 2014 @ 03:47:45 PM","4 min 10 sec",""

Time  [ms],"Battery Status",Time  [ms],"Battery Power [uW]",Time  [ms],"Application State",Description,
17569,0,17690,2693770,16767,368,Tpacf::Java::IO::Start,
17670,0,17790,3498034,16867,368,Tpacf::Java::IO::Start,
17770,0,17893,2640123,16968,368,Tpacf::Java::IO::Start,
17870,0,17993,3297089,17068,368,Tpacf::Java::IO::Start,
17971,0,18091,2828175,17168,368,Tpacf::Java::IO::Start,
18071,0,18192,2801453,17268,368,Tpacf::Java::IO::Start,
18171,0,18300,3501872,17368,368,Tpacf::Java::IO::Start,
18271,0,18396,2430009,17469,368,Tpacf::Java::IO::Start,
18372,0,18492,3598493,17569,368,Tpacf::Java::IO::Start,
18472,0,18600,3788697,17670,368,Tpacf::Java::IO::Start,
18572,0,18693,2564969,17770,368,Tpacf::Java::IO::Start,
18673,0,18793,2974237,17871,368,Tpacf::Java::IO::Start,
18773,0,18896,2775803,17971,368,Tpacf::Java::IO::Start,
18873,0,18993,3034748,18071,368,Tpacf::Java::IO::Start,
18974,0,19094,2888368,18171,368,Tpacf::Java::IO::Start,
19074,0,19198,2806125,18272,368,Tpacf::Java::IO::Start,
19177,0,19297,3384332,18372,368,Tpacf::Java::IO::Start,
19277,0,19407,2908232,18472,368,Tpacf::Java::IO::Start,
19377,0,19501,2688840,18572,368,Tpacf::Java::IO::Start,
19478,0,19599,2717492,18673,368,Tpacf::Java::IO::Start,
19579,0,19700,2821532,18773,368,Tpacf::Java::IO::Start,
19679,0,19799,3177991,18873,368,Tpacf::Java::IO::Start,
19779,0,19900,2880785,18974,368,Tpacf::Java::IO::Start,
19880,0,20000,3620874,19074,368,Tpacf::Java::IO::Start,
19980,0,20101,2672761,19177,368,Tpacf::Java::IO::Start,
20081,0,20204,3282639,19277,368,Tpacf::Java::IO::Start,
20182,0,20304,3315671,19378,368,Tpacf::Java::IO::Start,
20283,0,20404,2888095,19479,368,Tpacf::Java::IO::Start,
20383,0,20512,3550269,19579,368,Tpacf::Java::IO::Start,
20483,0,20604,2824343,19679,368,Tpacf::Java::IO::Start,
20584,0,20704,2924109,19779,368,Tpacf::Java::IO::Start,
20684,0,20804,3128544,19880,368,Tpacf::Java::IO::Start,
20784,0,20907,2460060,19980,368,Tpacf::Java::IO::Start,
20885,0,21006,3559330,20081,368,Tpacf::Java::IO::Start,
20985,0,21106,2841619,20183,368,Tpacf::Java::IO::Start,
21085,0,21206,3267619,20283,368,Tpacf::Java::IO::Start,
21186,0,21306,2856187,20383,368,Tpacf::Java::IO::Start,
21286,0,21406,2996161,20483,368,Tpacf::Java::IO::Start,
21386,0,21511,2871520,20584,368,Tpacf::Java::IO::Start,
21486,0,21608,2853767,20684,368,Tpacf::Java::IO::Start,
21587,0,21707,3774560,20785,368,Tpacf::Java::IO::Start,
21687,0,21807,2724205,20885,368,Tpacf::Java::IO::Start,
21787,0,21908,3517018,20985,368,Tpacf::Java::IO::Start,
21887,0,22008,2845483,21086,368,Tpacf::Java::IO::Start,
21988,0,22108,2883264,21186,368,Tpacf::Java::IO::Start,
22088,0,22209,3582543,21286,368,Tpacf::Java::IO::Start,
22188,0,22310,3147261,21386,368,Tpacf::Java::IO::Start,
22289,0,22410,3160405,21487,368,Tpacf::Java::IO::Start,
22389,0,22509,2374485,21587,368,Tpacf::Java::IO::Start,
22489,0,22618,2623003,21687,368,Tpacf::Java::IO::Start,
22590,0,22714,2738197,21787,368,Tpacf::Java::IO::Start,
22690,0,22811,2735537,21888,368,Tpacf::Java::IO::Start,
22790,0,22911,2868558,21988,368,Tpacf::Java::IO::Start,
22890,0,23011,2892896,22088,368,Tpacf::Java::IO::Start,
22991,0,23112,3103409,22188,368,Tpacf::Java::IO::Start,
23091,0,23212,2823856,22290,368,Tpacf::Java::IO::Start,
23191,0,23312,2630864,22389,368,Tpacf::Java::IO::Start,
23291,0,23411,2670919,22489,368,Tpacf::Java::IO::Start,
23392,0,23512,2469991,22590,368,Tpacf::Java::IO::Start,
23492,0,23615,2937333,22690,368,Tpacf::Java::IO::Start,
23595,0,23725,2862918,22790,368,Tpacf::Java::IO::Start,
23695,0,23820,2949479,22891,368,Tpacf::Java::IO::Start,
23795,0,23916,3611345,22991,368,Tpacf::Java::IO::Start,
23896,0,24016,2559121,23091,368,Tpacf::Java::IO::Start,
23996,0,24116,2563652,23191,368,Tpacf::Java::IO::Start,
24097,0,24226,3414460,23291,368,Tpacf::Java::IO::Start,
24197,0,24317,3554468,23392,368,Tpacf::Java::IO::Start,
24297,0,24418,3337103,23492,368,Tpacf::Java::IO::Start,
24397,0,24517,3387119,23595,368,Tpacf::Java::IO::Start,
24497,0,24619,2557880,23695,368,Tpacf::Java::IO::Start,
24598,0,24719,2815175,23796,368,Tpacf::Java::IO::Start,
24698,0,24829,3261564,23896,368,Tpacf::Java::IO::Start,
24799,0,24925,2984191,23997,368,Tpacf::Java::IO::Start,
24899,0,25019,3408181,24097,368,Tpacf::Java::IO::Start,
24999,0,25120,3352634,24197,368,Tpacf::Java::IO::Start,
25100,0,25220,2908733,24297,368,Tpacf::Java::IO::Start,
25200,0,25322,2824397,24397,368,Tpacf::Java::IO::Start,
25300,0,25420,3322106,24498,368,Tpacf::Java::IO::Start,
25400,0,25525,3526067,24598,368,Tpacf::Java::IO::Start,
25501,0,25621,2852818,24699,368,Tpacf::Java::IO::Start,
25601,0,25721,3493407,24799,368,Tpacf::Java::IO::Start,
25701,0,25823,2802815,24899,368,Tpacf::Java::IO::Start,
25802,0,25925,2807352,24999,368,Tpacf::Java::IO::Start,
25903,0,26023,2671792,25100,368,Tpacf::Java::IO::Start,
26002,0,26123,2900101,25200,368,Tpacf::Java::IO::Start,
26103,0,26224,2856648,25301,368,Tpacf::Java::IO::Start,
26203,0,26323,2816670,25400,368,Tpacf::Java::IO::Start,
26303,0,26425,2470807,25501,368,Tpacf::Java::IO::Start,
26403,0,26525,2655670,25601,368,Tpacf::Java::IO::Start,
26504,0,26626,2846031,25701,368,Tpacf::Java::IO::Start,
