App,Package,Start Time,Duration,Filename
"System",,"May 3, 2014 @ 02:32:55 PM","1 min 54 sec",""

Time  [ms],"Battery Status",Time  [ms],"Battery Power [uW]",Time  [ms],"Application State",Description,
23041,0,23166,3226416,22987,146,Sgemm::NativeC::IO::Stop,
23141,0,23274,2862480,22990,176,Sgemm::NativeC::Allocate::Start,
23242,0,23363,3444977,22992,177,Sgemm::NativeC::Allocate::Stop,
23342,0,23466,3206691,22993,299,Sgemm::NativeC::Init::Start,
23443,0,23565,3196166,22994,300,Sgemm::NativeC::Init::Stop,
23543,0,23667,3171319,22996,890,Sgemm::NativeC::Setup::Start,
23643,0,23768,3209545,22997,891,Sgemm::NativeC::Setup::Stop,
23743,0,23865,2719036,23009,176,Sgemm::NativeC::Allocate::Start,
23844,0,23965,3348593,23013,177,Sgemm::NativeC::Allocate::Stop,
23944,0,24064,3353054,23041,177,Sgemm::NativeC::Allocate::Stop,
24044,0,24166,2789672,23042,532,Sgemm::NativeC::Compute::Start,
24144,0,24272,2600217,23142,532,Sgemm::NativeC::Compute::Start,
24245,0,24368,3346559,23242,532,Sgemm::NativeC::Compute::Start,
24345,0,24472,2936250,23343,532,Sgemm::NativeC::Compute::Start,
24445,0,24567,3048934,23443,532,Sgemm::NativeC::Compute::Start,
24546,0,24666,3272902,23543,532,Sgemm::NativeC::Compute::Start,
24646,0,24767,3091289,23643,532,Sgemm::NativeC::Compute::Start,
24747,0,24867,2671860,23744,532,Sgemm::NativeC::Compute::Start,
24847,0,24968,2586499,23756,533,Sgemm::NativeC::Compute::Stop,
24948,0,25070,2853338,23758,631,Sgemm::NativeC::Free::Start,
25048,0,25169,2556035,23762,632,Sgemm::NativeC::Free::Stop,
25149,0,25270,2463582,23844,632,Sgemm::NativeC::Free::Stop,
25249,0,25390,3141351,23861,0,:: :: :: ::,
25351,0,25477,2728691,23878,342,Sgemm::NativeCThreaded::IO::Start,
25450,0,25571,2752948,23944,342,Sgemm::NativeCThreaded::IO::Start,
25550,0,25672,2667133,24044,342,Sgemm::NativeCThreaded::IO::Start,
25651,0,25772,2696630,24144,342,Sgemm::NativeCThreaded::IO::Start,
25751,0,25872,2551667,24245,342,Sgemm::NativeCThreaded::IO::Start,
25851,0,25974,3421005,24345,342,Sgemm::NativeCThreaded::IO::Start,
25952,0,26072,2555345,24445,342,Sgemm::NativeCThreaded::IO::Start,
26052,0,26172,2638571,24546,342,Sgemm::NativeCThreaded::IO::Start,
26152,0,26273,2649200,24646,342,Sgemm::NativeCThreaded::IO::Start,
26253,0,26372,2412445,24747,342,Sgemm::NativeCThreaded::IO::Start,
26353,0,26474,3386329,24847,342,Sgemm::NativeCThreaded::IO::Start,
26453,0,26580,2806205,24948,342,Sgemm::NativeCThreaded::IO::Start,
26553,0,26675,2977023,25048,342,Sgemm::NativeCThreaded::IO::Start,
26653,0,26774,1954140,25149,342,Sgemm::NativeCThreaded::IO::Start,
26754,0,26875,2504248,25250,342,Sgemm::NativeCThreaded::IO::Start,
26854,0,26974,2673041,25351,342,Sgemm::NativeCThreaded::IO::Start,
26954,0,27075,2643169,25450,342,Sgemm::NativeCThreaded::IO::Start,
27054,0,27176,2561863,25551,342,Sgemm::NativeCThreaded::IO::Start,
