App,Package,Start Time,Duration,Filename
"System",,"May 3, 2014 @ 03:39:43 PM","1 min 33 sec",""

Time  [ms],"Battery Status",Time  [ms],"Battery Power [uW]",Time  [ms],"Application State",Description,
28058,0,28178,2122562,25954,533,Histogram::JavaThreaded::IO::Start,
28158,0,28278,2227909,26054,533,Histogram::JavaThreaded::IO::Start,
28258,0,28381,1827989,26204,533,Histogram::JavaThreaded::IO::Start,
28359,0,28481,2099878,26304,533,Histogram::JavaThreaded::IO::Start,
28459,0,28579,2128899,26405,533,Histogram::JavaThreaded::IO::Start,
28559,0,28679,2136991,26505,533,Histogram::JavaThreaded::IO::Start,
28659,0,28779,2224420,26605,533,Histogram::JavaThreaded::IO::Start,
28759,0,28879,2186498,26655,533,Histogram::JavaThreaded::IO::Start,
28860,0,28988,2159480,26755,533,Histogram::JavaThreaded::IO::Start,
28960,0,29083,2117240,26856,533,Histogram::JavaThreaded::IO::Start,
29060,0,29181,2919829,26956,533,Histogram::JavaThreaded::IO::Start,
29160,0,29280,2873000,27056,533,Histogram::JavaThreaded::IO::Start,
29260,0,29381,2786221,27156,533,Histogram::JavaThreaded::IO::Start,
29361,0,29481,2211713,27256,533,Histogram::JavaThreaded::IO::Start,
29461,0,29582,2455435,27357,533,Histogram::JavaThreaded::IO::Start,
29561,0,29682,2447924,27457,533,Histogram::JavaThreaded::IO::Start,
29661,0,29781,2602249,27557,533,Histogram::JavaThreaded::IO::Start,
29762,0,29882,2316024,27657,533,Histogram::JavaThreaded::IO::Start,
29862,0,29982,2530793,27758,533,Histogram::JavaThreaded::IO::Start,
29962,0,30094,2282577,27858,533,Histogram::JavaThreaded::IO::Start,
30062,0,30184,2818916,27958,533,Histogram::JavaThreaded::IO::Start,
30162,0,30283,2521666,28058,533,Histogram::JavaThreaded::IO::Start,
30263,0,30384,2192867,28158,533,Histogram::JavaThreaded::IO::Start,
30363,0,30484,2110386,28259,533,Histogram::JavaThreaded::IO::Start,
30464,0,30584,2014214,28359,533,Histogram::JavaThreaded::IO::Start,
30564,0,30684,2033810,28459,533,Histogram::JavaThreaded::IO::Start,
30664,0,30836,2134514,28559,533,Histogram::JavaThreaded::IO::Start,
30815,0,30936,2204041,28659,533,Histogram::JavaThreaded::IO::Start,
30915,0,31035,3912733,28760,533,Histogram::JavaThreaded::IO::Start,
31015,0,31094,3551274,28860,533,Histogram::JavaThreaded::IO::Start,
31065,0,31198,4104590,28960,533,Histogram::JavaThreaded::IO::Start,
31166,0,31287,1641681,29060,533,Histogram::JavaThreaded::IO::Start,
31266,0,31437,1732792,29160,533,Histogram::JavaThreaded::IO::Start,
31417,0,31488,2934513,29261,533,Histogram::JavaThreaded::IO::Start,
31467,0,31588,2369399,29361,533,Histogram::JavaThreaded::IO::Start,
31567,0,31688,2815597,29461,533,Histogram::JavaThreaded::IO::Start,
31668,0,31788,3115728,29561,533,Histogram::JavaThreaded::IO::Start,
31768,0,31895,1345865,29662,533,Histogram::JavaThreaded::IO::Start,
31869,0,31991,3572612,29762,533,Histogram::JavaThreaded::IO::Start,
31969,0,32090,5508013,29862,533,Histogram::JavaThreaded::IO::Start,
32070,0,32209,2738558,29962,533,Histogram::JavaThreaded::IO::Start,
32170,0,32295,3039275,30063,533,Histogram::JavaThreaded::IO::Start,
32271,0,32391,3627429,30163,533,Histogram::JavaThreaded::IO::Start,
32371,0,32492,2679727,30263,533,Histogram::JavaThreaded::IO::Start,
32471,0,32594,2077745,30364,533,Histogram::JavaThreaded::IO::Start,
32571,0,32693,3095875,30464,533,Histogram::JavaThreaded::IO::Start,
32672,0,32792,2369371,30564,533,Histogram::JavaThreaded::IO::Start,
32772,0,32893,4866241,30664,533,Histogram::JavaThreaded::IO::Start,
32872,0,32992,1227950,30815,533,Histogram::JavaThreaded::IO::Start,
32972,0,33092,3083925,30915,533,Histogram::JavaThreaded::IO::Start,
33073,0,33196,3756034,30932,534,Histogram::JavaThreaded::IO::Stop,
33173,0,33295,4925435,30933,124,Histogram::JavaThreaded::Allocate::Start,
33273,0,33401,2414806,30934,125,Histogram::JavaThreaded::Allocate::Stop,
33373,0,33493,3031233,30964,56,Histogram::JavaThreaded::Compute::Start,
33473,0,33594,3062148,31016,56,Histogram::JavaThreaded::Compute::Start,
33574,0,33695,2428269,31066,56,Histogram::JavaThreaded::Compute::Start,
33674,0,33794,2884843,31166,56,Histogram::JavaThreaded::Compute::Start,
33774,0,33894,3001627,31266,56,Histogram::JavaThreaded::Compute::Start,
33874,0,33995,2274728,31417,56,Histogram::JavaThreaded::Compute::Start,
33975,0,34095,2981532,31467,56,Histogram::JavaThreaded::Compute::Start,
34075,0,34196,3602664,31568,56,Histogram::JavaThreaded::Compute::Start,
34176,0,34296,2369676,31668,56,Histogram::JavaThreaded::Compute::Start,
34276,0,34400,2848105,31769,56,Histogram::JavaThreaded::Compute::Start,
34376,0,34506,3805749,31869,56,Histogram::JavaThreaded::Compute::Start,
34476,0,34597,3392161,31970,56,Histogram::JavaThreaded::Compute::Start,
34576,0,34697,3566850,32070,56,Histogram::JavaThreaded::Compute::Start,
34677,0,34809,2718478,32171,56,Histogram::JavaThreaded::Compute::Start,
34777,0,34897,3037645,32271,56,Histogram::JavaThreaded::Compute::Start,
34877,0,34997,2797912,32371,56,Histogram::JavaThreaded::Compute::Start,
34977,0,35098,2484556,32471,56,Histogram::JavaThreaded::Compute::Start,
35078,0,35198,2993069,32572,56,Histogram::JavaThreaded::Compute::Start,
35178,0,35301,3959639,32672,56,Histogram::JavaThreaded::Compute::Start,
35278,0,35398,2993094,32772,56,Histogram::JavaThreaded::Compute::Start,
35378,0,35507,2859823,32872,56,Histogram::JavaThreaded::Compute::Start,
35479,0,35599,4059994,32973,56,Histogram::JavaThreaded::Compute::Start,
35579,0,35699,2940643,33073,56,Histogram::JavaThreaded::Compute::Start,
35679,0,35799,2931630,33173,56,Histogram::JavaThreaded::Compute::Start,
35779,0,35903,2248733,33273,56,Histogram::JavaThreaded::Compute::Start,
35879,0,35999,2912262,33373,56,Histogram::JavaThreaded::Compute::Start,
35980,0,36100,2966763,33474,56,Histogram::JavaThreaded::Compute::Start,
36080,0,36203,2257210,33574,56,Histogram::JavaThreaded::Compute::Start,
36180,0,36300,2958091,33674,56,Histogram::JavaThreaded::Compute::Start,
36280,0,36401,3968833,33774,56,Histogram::JavaThreaded::Compute::Start,
36381,0,36505,1233700,33875,56,Histogram::JavaThreaded::Compute::Start,
36481,0,36602,2871968,33975,56,Histogram::JavaThreaded::Compute::Start,
36581,0,36704,2597496,34075,56,Histogram::JavaThreaded::Compute::Start,
36681,0,36808,3667144,34176,56,Histogram::JavaThreaded::Compute::Start,
36782,0,36903,3004296,34276,56,Histogram::JavaThreaded::Compute::Start,
36883,0,37005,3915527,34376,56,Histogram::JavaThreaded::Compute::Start,
36983,0,37105,2936269,34476,56,Histogram::JavaThreaded::Compute::Start,
37083,0,37205,3089716,34577,56,Histogram::JavaThreaded::Compute::Start,
37184,0,37307,2245003,34677,56,Histogram::JavaThreaded::Compute::Start,
37284,0,37405,2936301,34777,56,Histogram::JavaThreaded::Compute::Start,
37384,0,37505,3895408,34877,56,Histogram::JavaThreaded::Compute::Start,
37485,0,37616,1760850,34978,56,Histogram::JavaThreaded::Compute::Start,
37585,0,37708,2997625,35078,56,Histogram::JavaThreaded::Compute::Start,
37685,0,37805,2787762,35178,56,Histogram::JavaThreaded::Compute::Start,
37786,0,37907,2217407,35278,56,Histogram::JavaThreaded::Compute::Start,
37886,0,38006,3032284,35379,56,Histogram::JavaThreaded::Compute::Start,
37986,0,38112,3672256,35479,56,Histogram::JavaThreaded::Compute::Start,
38086,0,38206,2971616,35579,56,Histogram::JavaThreaded::Compute::Start,
