App,Package,Start Time,Duration,Filename
"System",,"May 3, 2014 @ 03:41:56 PM","5 min 18 sec",""

Time  [ms],"Battery Status",Time  [ms],"Battery Power [uW]",Time  [ms],"Application State",Description,
30181,0,30303,2540141,29980,0,Mriq::Java::Compute::Start,
30282,0,30403,2388583,30081,0,Mriq::Java::Compute::Start,
30383,0,30504,2443339,30182,0,Mriq::Java::Compute::Start,
30483,0,30604,2443339,30283,0,Mriq::Java::Compute::Start,
30584,0,30706,2515295,30383,0,Mriq::Java::Compute::Start,
30684,0,30807,2426182,30484,0,Mriq::Java::Compute::Start,
30785,0,30909,2796288,30584,0,Mriq::Java::Compute::Start,
30885,0,31008,2470509,30684,0,Mriq::Java::Compute::Start,
30986,0,31108,2826578,30785,0,Mriq::Java::Compute::Start,
31086,0,31212,2685029,30886,0,Mriq::Java::Compute::Start,
31187,0,31314,2569277,30986,0,Mriq::Java::Compute::Start,
31287,0,31409,2480378,31087,0,Mriq::Java::Compute::Start,
31389,0,31509,2446686,31187,0,Mriq::Java::Compute::Start,
31489,0,31613,2890679,31288,0,Mriq::Java::Compute::Start,
31591,0,31714,2845208,31389,0,Mriq::Java::Compute::Start,
31691,0,31816,2822833,31490,0,Mriq::Java::Compute::Start,
31792,0,31912,2301423,31591,0,Mriq::Java::Compute::Start,
31892,0,32012,2446943,31692,0,Mriq::Java::Compute::Start,
31992,0,32113,3151328,31792,0,Mriq::Java::Compute::Start,
32093,0,32213,2747303,31892,0,Mriq::Java::Compute::Start,
32193,0,32320,2773895,31993,0,Mriq::Java::Compute::Start,
32294,0,32424,1421322,32093,0,Mriq::Java::Compute::Start,
32394,0,32515,2396042,32194,0,Mriq::Java::Compute::Start,
32495,0,32615,2497329,32294,0,Mriq::Java::Compute::Start,
32596,0,32716,2415184,32395,0,Mriq::Java::Compute::Start,
32696,0,32816,2457657,32495,0,Mriq::Java::Compute::Start,
32796,0,32917,2422012,32596,0,Mriq::Java::Compute::Start,
32897,0,33019,2368878,32696,0,Mriq::Java::Compute::Start,
32997,0,33118,3103564,32797,0,Mriq::Java::Compute::Start,
33098,0,33221,3333765,32897,0,Mriq::Java::Compute::Start,
33199,0,33319,2674565,32997,0,Mriq::Java::Compute::Start,
33299,0,33429,2558971,33098,0,Mriq::Java::Compute::Start,
33399,0,33534,1309812,33199,0,Mriq::Java::Compute::Start,
33500,0,33623,2554793,33299,0,Mriq::Java::Compute::Start,
33601,0,33721,2326443,33399,0,Mriq::Java::Compute::Start,
33701,0,33822,2529155,33500,0,Mriq::Java::Compute::Start,
33802,0,33922,2399946,33601,0,Mriq::Java::Compute::Start,
33902,0,34024,2519372,33701,0,Mriq::Java::Compute::Start,
34002,0,34123,2461415,33802,0,Mriq::Java::Compute::Start,
34103,0,34223,2501568,33902,0,Mriq::Java::Compute::Start,
34204,0,34325,2465962,34003,0,Mriq::Java::Compute::Start,
34304,0,34424,2550435,34103,0,Mriq::Java::Compute::Start,
34404,0,34527,3298506,34204,0,Mriq::Java::Compute::Start,
34505,0,34630,2622946,34304,0,Mriq::Java::Compute::Start,
34605,0,34726,2453773,34404,0,Mriq::Java::Compute::Start,
34705,0,34827,2672261,34505,0,Mriq::Java::Compute::Start,
34806,0,34929,2872917,34605,0,Mriq::Java::Compute::Start,
34906,0,35028,2453232,34706,0,Mriq::Java::Compute::Start,
35007,0,35128,2506555,34806,0,Mriq::Java::Compute::Start,
35107,0,35228,2477624,34907,0,Mriq::Java::Compute::Start,
35208,0,35328,2477624,35007,0,Mriq::Java::Compute::Start,
35308,0,35430,2600384,35107,0,Mriq::Java::Compute::Start,
35409,0,35530,2446277,35208,0,Mriq::Java::Compute::Start,
35509,0,35638,2676082,35308,0,Mriq::Java::Compute::Start,
35610,0,35735,2605118,35409,0,Mriq::Java::Compute::Start,
35710,0,35832,2422671,35510,0,Mriq::Java::Compute::Start,
35811,0,35932,2469324,35610,0,Mriq::Java::Compute::Start,
35911,0,36035,2819758,35710,0,Mriq::Java::Compute::Start,
36012,0,36135,3122417,35811,0,Mriq::Java::Compute::Start,
36113,0,36234,2435847,35912,0,Mriq::Java::Compute::Start,
36213,0,36334,2371108,36012,0,Mriq::Java::Compute::Start,
36314,0,36434,2435847,36113,0,Mriq::Java::Compute::Start,
36414,0,36535,2441342,36214,0,Mriq::Java::Compute::Start,
36514,0,36636,2483765,36314,0,Mriq::Java::Compute::Start,
36615,0,36750,2595687,36414,0,Mriq::Java::Compute::Start,
36715,0,36837,2417460,36515,0,Mriq::Java::Compute::Start,
36816,0,36937,2444005,36615,0,Mriq::Java::Compute::Start,
36916,0,37042,2840656,36716,0,Mriq::Java::Compute::Start,
37017,0,37139,2604409,36816,0,Mriq::Java::Compute::Start,
37117,0,37238,2689924,36917,0,Mriq::Java::Compute::Start,
37218,0,37338,2732305,37017,0,Mriq::Java::Compute::Start,
37318,0,37439,2235445,37117,0,Mriq::Java::Compute::Start,
37419,0,37539,2447333,37218,0,Mriq::Java::Compute::Start,
37519,0,37640,2387334,37318,0,Mriq::Java::Compute::Start,
37620,0,37755,2641725,37419,0,Mriq::Java::Compute::Start,
37720,0,37848,2575055,37519,0,Mriq::Java::Compute::Start,
37821,0,37942,2508849,37620,0,Mriq::Java::Compute::Start,
37921,0,38047,2415184,37721,0,Mriq::Java::Compute::Start,
38022,0,38146,3723076,37821,0,Mriq::Java::Compute::Start,
38123,0,38244,2641623,37922,0,Mriq::Java::Compute::Start,
38223,0,38345,2837899,38023,0,Mriq::Java::Compute::Start,
38324,0,38445,2372064,38123,0,Mriq::Java::Compute::Start,
38424,0,38545,1300710,38224,0,Mriq::Java::Compute::Start,
38524,0,38646,2323161,38324,0,Mriq::Java::Compute::Start,
38625,0,38747,2180127,38424,0,Mriq::Java::Compute::Start,
38725,0,38850,2708654,38525,0,Mriq::Java::Compute::Start,
38826,0,38965,2952223,38625,0,Mriq::Java::Compute::Start,
38927,0,39047,2339489,38725,0,Mriq::Java::Compute::Start,
39027,0,39150,2436948,38826,0,Mriq::Java::Compute::Start,
39128,0,39250,2604555,38927,0,Mriq::Java::Compute::Start,
39228,0,39350,2250662,39027,0,Mriq::Java::Compute::Start,
39329,0,39450,2224436,39128,0,Mriq::Java::Compute::Start,
39429,0,39551,2300378,39228,0,Mriq::Java::Compute::Start,
39529,0,39651,2262405,39329,0,Mriq::Java::Compute::Start,
39630,0,39751,2357809,39429,0,Mriq::Java::Compute::Start,
39730,0,39852,2270944,39530,0,Mriq::Java::Compute::Start,
39831,0,39957,2539053,39630,0,Mriq::Java::Compute::Start,
39931,0,40059,2445336,39731,0,Mriq::Java::Compute::Start,
40031,0,40153,2327337,39831,0,Mriq::Java::Compute::Start,
40132,0,40253,2314192,39931,0,Mriq::Java::Compute::Start,
40232,0,40354,2349756,40032,0,Mriq::Java::Compute::Start,
40333,0,40454,2395085,40132,0,Mriq::Java::Compute::Start,
40433,0,40554,2417460,40233,0,Mriq::Java::Compute::Start,
40534,0,40654,2388639,40333,0,Mriq::Java::Compute::Start,
40634,0,40755,1472448,40434,0,Mriq::Java::Compute::Start,
40735,0,40856,1939885,40534,0,Mriq::Java::Compute::Start,
40835,0,40956,2264731,40635,0,Mriq::Java::Compute::Start,
40936,0,41061,2650602,40735,0,Mriq::Java::Compute::Start,
41037,0,41163,2556882,40836,0,Mriq::Java::Compute::Start,
41137,0,41257,2420234,40936,0,Mriq::Java::Compute::Start,
41237,0,41358,2324908,41037,0,Mriq::Java::Compute::Start,
