App,Package,Start Time,Duration,Filename
"System",,"May 3, 2014 @ 02:35:20 PM","2 min 54 sec",""

Time  [ms],"Battery Status",Time  [ms],"Battery Power [uW]",Time  [ms],"Application State",Description,
27514,0,27644,2140198,24097,47,Stencil::Java::Compute::Start,
27614,0,27739,2109262,24197,47,Stencil::Java::Compute::Start,
27714,0,27835,1996264,24298,47,Stencil::Java::Compute::Start,
27815,0,27936,2068519,24398,47,Stencil::Java::Compute::Start,
27915,0,28037,2118076,24498,47,Stencil::Java::Compute::Start,
28015,0,28136,2120385,24599,47,Stencil::Java::Compute::Start,
28116,0,28237,2069156,24699,47,Stencil::Java::Compute::Start,
28216,0,28336,2114087,24799,47,Stencil::Java::Compute::Start,
28316,0,28440,2681523,24900,47,Stencil::Java::Compute::Start,
28420,0,28541,2120441,25001,47,Stencil::Java::Compute::Start,
28520,0,28641,2122742,25102,47,Stencil::Java::Compute::Start,
28621,0,28751,1791607,25202,47,Stencil::Java::Compute::Start,
28721,0,28846,2105784,25303,47,Stencil::Java::Compute::Start,
28821,0,28943,2050456,25405,47,Stencil::Java::Compute::Start,
28922,0,29043,2106956,25505,47,Stencil::Java::Compute::Start,
29022,0,29142,2138469,25606,47,Stencil::Java::Compute::Start,
29122,0,29243,2119266,25706,47,Stencil::Java::Compute::Start,
29222,0,29344,1891474,25807,47,Stencil::Java::Compute::Start,
29323,0,29444,2053964,25908,47,Stencil::Java::Compute::Start,
29423,0,29544,2053964,26008,47,Stencil::Java::Compute::Start,
29523,0,29643,2640536,26109,47,Stencil::Java::Compute::Start,
29623,0,29745,2801582,26210,47,Stencil::Java::Compute::Start,
29724,0,29847,2177941,26310,47,Stencil::Java::Compute::Start,
29824,0,29953,2241035,26412,47,Stencil::Java::Compute::Start,
29924,0,30045,2270612,26512,47,Stencil::Java::Compute::Start,
30025,0,30146,2148457,26611,47,Stencil::Java::Compute::Start,
30125,0,30246,2434413,26712,47,Stencil::Java::Compute::Start,
30225,0,30345,2278374,26812,47,Stencil::Java::Compute::Start,
30325,0,30446,2143084,26912,47,Stencil::Java::Compute::Start,
30426,0,30546,1984735,27013,47,Stencil::Java::Compute::Start,
30526,0,30655,2644268,27113,47,Stencil::Java::Compute::Start,
30627,0,30748,1757705,27213,47,Stencil::Java::Compute::Start,
30727,0,30849,2005789,27313,47,Stencil::Java::Compute::Start,
30828,0,30951,2518084,27414,47,Stencil::Java::Compute::Start,
30929,0,31050,1922455,27514,47,Stencil::Java::Compute::Start,
31029,0,31151,1884053,27614,47,Stencil::Java::Compute::Start,
31130,0,31251,1934110,27715,47,Stencil::Java::Compute::Start,
31231,0,31351,1963690,27815,47,Stencil::Java::Compute::Start,
31331,0,31451,2106956,27915,47,Stencil::Java::Compute::Start,
31432,0,31553,1957831,28015,47,Stencil::Java::Compute::Start,
31532,0,31653,2063911,28116,47,Stencil::Java::Compute::Start,
31633,0,31754,2040686,28216,47,Stencil::Java::Compute::Start,
31733,0,31855,2115227,28316,47,Stencil::Java::Compute::Start,
